MatchID,PlayerName
97,Jack Grealish
98,Robbie Brady
98,Dominic Calvert-Lewin
99,Raheem Sterling
99,Kevin De Bruyne
100,Tomáš Souček
100,Paul Pogba
100,Mason Greenwood
100,Marcus Rashford
101,Patrick Bamford
101,Olivier Giroud
101,Kurt Zouma
101,Christian Pulisic
102,Darnell Furlong
102,Conor Gallagher
102,Wilfried Zaha
102,Christian Benteke
102,Wilfried Zaha
102,Christian Benteke
103,Ayoze Pérez
103,Oliver McBurnie
103,Jamie Vardy
104,Son Heung-min
104,Harry Kane
105,Mohamed Salah
105,Georginio Wijnaldum
105,Joël Matip
105,Nélson Semedo
106,Pascal Groß
106,Danny Ings
106,Jannik Vestergaard
107,Mateusz Klich
107,Tomáš Souček
107,Angelo Ogbonna
108,Anwar El Ghazi
109,Miguel Almirón
109,Darnell Furlong
109,Dwight Gayle
111,Gylfi Sigurðsson
112,Che Adams
112,Stuart Armstrong
112,Nathan Redmond
113,Harry Kane
113,Jeffrey Schlupp
114,Bobby Reid
114,Mohamed Salah
115,Pierre-Emerick Aubameyang
116,James Maddison
116,James Maddison
116,Jamie Vardy
117,Olivier Giroudv
117,Daniel Podence
117,Pedro Neto
118,İlkay Gündoğan
118,Rúben Dias
119,Richarlison
119,Mason Holgate
120,Jeff Hendrick
120,Patrick Bamford
120,Rodrigo
120,Stuart Dallas
120,Ezgjan Alioski
120,Jack Harrison
120,Ciaran Clark
121,Theo Walcott
121,Pierre-Emerick Aubameyang
123,Mohamed Salah
123,Roberto Firmino
123,Son Heung-min
124,Sébastien Haller
124,Christian Benteke
126,David McGoldrick
126,Marcus Rashford
126,Marcus Rashford
126,David McGoldrick
126,Anthony Martial
127,Takumi Minamino
127,Sadio Mané
127,Roberto Firmino
127,Jordan Henderson
127,Roberto Firmino
127,Mohamed Salah
127,Mohamed Salah
128,Raheem Sterling
129,Nicolas Pépé
129,Yerry Mina
129,Rob Holding
130,Matt Ritchie
130,Callum Wilson
131,Jayden Bogle
131,Danny Welbeck
132,Jamie Vardy
132,Toby Alderweireld
133,Scott McTominay
133,Scott McTominay
133,Bruno Fernandes
133,Bruno Fernandes
133,Daniel James
133,Victor Lindelöf
133,Liam Cooper
133,Stuart Dallas
134,Anwar El Ghazi
134,Anwar El Ghazi
134,Bertrand Traoré
135,Harvey Barnes
135,Chris Wood
135,Fábio Silva
136,Thiago Silva
136,Tammy Abraham
136,Tammy Abraham
137,Marcus Rashford
137,Bruno Fernandes
137,Harvey Barnes
137,Axel Tuanzebe
138,Bertrand Traoré
138,Kortney Hause
138,Anwar El Ghazi
140,Alexandre Lacazette
140,Granit Xhaka
140,Bukayo Saka
140,Tammy Abraham
141,İlkay Gündoğan
141,Ferrán Torres
142,Gylfi Sigurðsson
143,Patrick Bamford
144,Neal Maupay
144,Ben Johnson
144,Tomáš Souček
144,Lewis Dunk
145,Sadio Mané
145,Semi Ajayi
146,Tanguy Ndombele
146,Romain Saïss
147,Wilfried Zaha
147,Harvey Barnes
148,Anwar El Ghazi
148,Olivier Giroud
149,Alexandre Lacazette
150,Ben Mee
152,Romaine Sawyers
152,Ezgjan Alioski
152,Jack Harrison
152,Rodrigo
152,Raphael Dias Belloli
153,Marcus Rashford
155,Tomáš Souček
156,Anthony Martial
156,Bruno Fernandes
156,Bertrand Traoré
157,Harry Kane
157,Son Heung-min
157,Toby Alderweireld
158,Jeffrey Schlupp
158,Eberechi Eze
159,Aaron Connolly
159,Romain Saïss
159,Dan Burn
159,Rúben Neves
159,Neal Maupay
159,Lewis Dunk
160,Bukayo Saka
160,Kieran Tierney
160,Alexandre Lacazette
160,Alexandre Lacazette
161,James Maddison
161,Youri Tielemans
161,Andy Carroll
162,İlkay Gündoğan
162,Phil Foden
162,Kevin De Bruyne
162,Callum Hudson-Odoi
163,Danny Ings
164,Billy Sharp
165,Paul Pogba
166,Alex Iwobi
166,Rúben Neves
166,Michael Keane
167,Phil Foden
168,Harry Kane
168,Ivan Cavaleiro
170,Fábio Silva
170,Willy Boly
170,Matheus Pereira
170,Matheus Pereira
170,Semi Ajayi
171,Neal Maupay
172,Michail Antonio
173,Mason Mount
174,James Maddison
174,Harvey Barnes
175,Serge Aurier
175,Harry Kane
175,Tanguy Ndombele
175,David McGoldrick
177,John Stones
177,John Stones
177,Raheem Sterling
177,İlkay Gündoğan
178,Pierre-Emerick Aubameyang
178,Bukayo Saka
178,Pierre-Emerick Aubameyang
179,Jarrod Bowen
179,Michail Antonio
179,Matheus Pereira
180,Wilfred Ndidi
180,James Maddison
181,İlkay Gündoğan
181,Bernardo Silva
182,Ademola Lookman
182,Paul Pogba
182,Edinson Cavani
183,Ashley Barnes
184,Ollie Watkins
184,Bertrand Traoré
185,Wilfried Zaha
185,Tomáš Souček
185,Tomáš Souček
185,Craig Dawson
185,Michy Batshuayi
186,Miguel Almirón
186,Raphael Dias Belloli
186,Jack Harrison
187,Stuart Armstrong
187,Bukayo Saka
187,Nicolas Pépé
187,Alexandre Lacazette
188,Raheem Sterling
188,İlkay Gündoğan
188,İlkay Gündoğan
188,João Cancelo
188,Riyad Mahrez
189,Ollie Watkins
189,Jack Grealish
189,Ben Mee
189,Dwight McNeil
189,Chris Wood
192,James Rodríguez
192,Youri Tielemans
193,Harry Maguire
193,Joe Bryan
193,Oliver Burke
194,Roberto Firmino
194,Pierre Højbjerg
194,Trent Alexander-Arnold
194,Sadio Mané
195,Callum Wilson
195,Callum Wilson
196,Eberechi Eze
197,Gabriel Jesus
198,Kyle Bartley
198,Bobby Reid
198,Matheus Pereira
198,Ivan Cavaleiro
200,Ross Barkley
201,César Azpilicueta
201,Marcos Alonso
202,Harvey Barnes
202,Stuart Dallas
202,Patrick Bamford
